# Release Date  : 20231205023936
# Start Field Description
# Dot#        4-character identifier for a given station
# Name        16-character station name
# Ref_epoch   Date and time at which the station position is as given in ref_XYZ and ref_NEU. Format is YYYYMMDDhhmmss.
# Ref_jday    Reference epoch, represented as Modified Julian day
# Ref_X       Reference X coordinate at Ref_epoch, meters
# Ref_Y       Reference Y coordinate at Ref_epoch, meters
# Ref_Z       Reference Z coordinate at Ref_epoch, meters
# Ref_Nlat    Reference North latitude WGS-84 ellipsoid, decimal degrees
# Ref_Elong   Reference East Longitude WGS-84 ellipsoid, decimal degrees
# Ref_Up      Reference Height  WGS-84 ellipsoid, meters 
# dX/dt       X component of station velocity, meters/yr
# dY/dt       Y component of station velocity, meters/yr
# dZ/dt       Z component of station velocity, meters/yr
# SXd         Standard deviation of X velocity, meters/yr
# SYd         Standard deviation of Y velocity,  meters/yr
# SZd         Standard deviation of Z velocity,  meters/yr
# Rxy         Correlation of X and Y velocity
# Rxz         Correlation of X and Z velocity
# Ryz         Correlation of Y and Z velocity, 
# dN/dt       North component of station velocity, meters/yr
# dE/dt       East component of station velocity, meters/yr
# dU/dt       Vertical component of station velocity, meters/yr
# SNd         Standard deviation of North velocity, meters/yr
# SEd         Standard deviation of East velocity, meters/yr
# SUd         Standard deviation of vertical velocity, meters/yr
# Rne         Correlation of North and East velocity
# Rnu         Correlation of North and vertical velocity
# Reu         Correlation of East and vertical velocity
# first_epoch Epoch of first data used to derive the station velocity, in the same format as ref_epoch.
# last_epoch  Epoch of last data used to derive the station velocity, in the same format as ref_epoch.
# End Field Description 
#Dot#,Type,Ref_epoch,Ref_jday,Ref_X,Ref_Y,Ref_Z,Ref_Nlat,Ref_Elong,Ref_Up,dX/dt,dY/dt,dZ/dt,SXd,SYd,SZd,Rxy,Rxz,Rzy,dN/dt,dE/dt,dU/dt,SNd,SEd,SUd,Rne,Rnu,Reu,first_epoch,last_epoch,n_observations
0184,survey,19930224140000,49042.5833,-2351578.59860,-4754285.90340,3530538.95230,33.8266021325,243.6819474553,96.78443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00416,-0.02568,0.00522,0.00137,0.00128,0.00201,-0.000,NaN,NaN,19930224140000,20150328120000,9
0185,survey,19930224140000,49042.5833,-2352479.20143,-4754294.34011,3529876.84870,33.8196012064,243.6732684000,66.28073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
0187,survey,19930224140000,49042.5833,-2362237.83953,-4754429.41218,3523172.33000,33.7470239786,243.5795200361,41.81563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930224140000,19930224140000,1
0189,survey,19930223150000,49041.6250,-2338583.04155,-4766354.74381,3522930.52702,33.7441068536,243.8654021778,90.86093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
0190,survey,19930223150000,49041.6250,-2342642.14770,-4768200.30122,3517508.69387,33.6862040147,243.8348682555,-52.54247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
0191,survey,19930223150000,49041.6250,-2343095.19803,-4765263.33677,3521196.65835,33.7260519842,243.8165071083,-32.42597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
0192,survey,19930223150000,49041.6250,-2346236.39886,-4763664.16584,3521261.88786,33.7267806620,243.7784780111,-36.01106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
0194,survey,19930225140000,49043.5833,-2350002.61817,-4764901.30163,3517120.70351,33.6818389398,243.7479365861,-25.71167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930225140000,19930225140000,1
0195,survey,19930223150000,49041.6250,-2341030.99317,-4762867.15036,3525958.92075,33.7770833870,243.8250908027,68.31484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19930223150000,19930223150000,1
02NE,survey,19990325120000,51262.5000,-2318057.28461,-4797844.09450,3493550.98399,33.4270527861,244.2126933277,-61.14008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00073,-0.02326,-0.00186,0.00138,0.00141,0.00492,-0.000,NaN,NaN,19990325120000,20030604120000,3
